,First entry (Title + ISBN),Second entry (Title + ISBN),similairity_score
582,ilustracja boskiej komedii dantego : czyściec : pieśń xiii : wersy 1-84 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxix : wersy 73-132 ; -,0.9343179752149464
583,ilustracja boskiej komedii dantego : czyściec : pieśń xiii : wersy 1-84 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxv : wersy 109-139 ; -,0.9343179752149464
585,ilustracja boskiej komedii dantego : czyściec : pieśń xiii : wersy 1-84 ; -,ilustracja boskiej komedii dantego : czyściec : pieśń xxxii : wersy 85-108 ; -,0.9343179752149464
532,"ilustracja boskiej komedii dantego : czyściec : pieśń viii : wersy 1-45, 94-108 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxix : wersy 73-132 ; -,0.9343179752149464
533,"ilustracja boskiej komedii dantego : czyściec : pieśń viii : wersy 1-45, 94-108 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxv : wersy 109-139 ; -,0.9343179752149464
534,"ilustracja boskiej komedii dantego : czyściec : pieśń viii : wersy 1-45, 94-108 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxxiii : wersy 103-114 ; -,0.9343179752149464
531,"ilustracja boskiej komedii dantego : czyściec : pieśń viii : wersy 1-45, 94-108 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxiv : wersy 98-154 ; -,0.9343179752149464
530,"ilustracja boskiej komedii dantego : czyściec : pieśń viii : wersy 1-45, 94-108 ; -","ilustracja boskiej komedii dantego : czyściec : pieśń xxvii : wersy 1-48, 88-90 ; -",0.9343179752149464
528,"ilustracja boskiej komedii dantego : czyściec : pieśń viii : wersy 1-45, 94-108 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxviii : wersy 1-63 ; -,0.9343179752149464
529,"ilustracja boskiej komedii dantego : czyściec : pieśń viii : wersy 1-45, 94-108 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxxi : wersy 92-102 ; -,0.9343179752149464
536,"ilustracja boskiej komedii dantego : czyściec : pieśń viii : wersy 1-45, 94-108 ; -",ilustracja boskiej komedii dantego : czyściec : pieśń xxx : wersy 13-72 ; -,0.9343179752149464
1708,portret mai berezowskiej ; -,wachlarz mai berezowskiej ; -,0.9342522120498142
1745,lampka mai berezowskiej ; -,portret mai berezowskiej ; -,0.9342522120498142
1709,portret mai berezowskiej ; -,stół cztery krzesła mai berezowskiej ; -,0.9342522120498142
1719,stół cztery krzesła mai berezowskiej ; -,portret mai berezowskiej ; -,0.9342522120498142
1706,portret mai berezowskiej ; -,lampka mai berezowskiej ; -,0.9342522120498142
1707,portret mai berezowskiej ; -,binokle etui należące mai berezowskiej ; -,0.9342522120498142
1739,binokle etui należące mai berezowskiej ; -,portret mai berezowskiej ; -,0.9342522120498142
1733,wachlarz mai berezowskiej ; -,portret mai berezowskiej ; -,0.9342522120498142
172,"ilustracja boskiej komedii dantego : piekło : pieśń viii : wersy 17-24, 31-40, 68-75 ; -","ilustracja boskiej komedii dantego : piekło : pieśń xxiii : wersy 58-69, 110-126 ; -",0.9339518555278227
173,"ilustracja boskiej komedii dantego : piekło : pieśń viii : wersy 17-24, 31-40, 68-75 ; -","ilustracja boskiej komedii dantego : piekło : pieśń xxxi : wersy 37-78, 82-96, 112-145 ; -",0.9339518555278227
174,"ilustracja boskiej komedii dantego : piekło : pieśń viii : wersy 17-24, 31-40, 68-75 ; -",ilustracja boskiej komedii dantego : piekło : pieśń xxiv : wersy 79-151 ; -,0.9339518555278227
175,"ilustracja boskiej komedii dantego : piekło : pieśń viii : wersy 17-24, 31-40, 68-75 ; -",ilustracja boskiej komedii dantego : piekło : pieśń xxix : wersy 37-84 ; -,0.9339518555278227
178,"ilustracja boskiej komedii dantego : piekło : pieśń viii : wersy 17-24, 31-40, 68-75 ; -",ilustracja boskiej komedii dantego : piekło : pieśń xxiv : wersy 79-151 ; -,0.9339518555278227
171,"ilustracja boskiej komedii dantego : piekło : pieśń viii : wersy 17-24, 31-40, 68-75 ; -",ilustracja boskiej komedii dantego : piekło : pieśń xxviii : wersy 1-42 ; -,0.9339518555278227
179,"ilustracja boskiej komedii dantego : piekło : pieśń viii : wersy 17-24, 31-40, 68-75 ; -",ilustracja boskiej komedii dantego : piekło : pieśń xxxiii : wersy 1-81 ; -,0.9339518555278227
177,"ilustracja boskiej komedii dantego : piekło : pieśń viii : wersy 17-24, 31-40, 68-75 ; -",ilustracja boskiej komedii dantego : piekło : pieśń xxii : wersy 13-58 ; -,0.9339518555278227
221,"ilustracja boskiej komedii dantego : piekło : pieśń xiii : wersy 7-24, 88-107, 115-132 ; -",ilustracja boskiej komedii dantego : piekło : pieśń xxviii : wersy 1-42 ; -,0.9339518555278227
222,"ilustracja boskiej komedii dantego : piekło : pieśń xiii : wersy 7-24, 88-107, 115-132 ; -","ilustracja boskiej komedii dantego : piekło : pieśń xxiii : wersy 58-69, 110-126 ; -",0.9339518555278227
223,"ilustracja boskiej komedii dantego : piekło : pieśń xiii : wersy 7-24, 88-107, 115-132 ; -","ilustracja boskiej komedii dantego : piekło : pieśń xxxi : wersy 37-78, 82-96, 112-145 ; -",0.9339518555278227
224,"ilustracja boskiej komedii dantego : piekło : pieśń xiii : wersy 7-24, 88-107, 115-132 ; -",ilustracja boskiej komedii dantego : piekło : pieśń xxiv : wersy 79-151 ; -,0.9339518555278227
