,isbn,title,author,publisher,pub_place,pub_year,extent,dimensions,subject,inclusion_date,source,library,notes
82,8390032627,bursztyn archeologii 1874-1993,"Gula, Małgorzata (1946-2003)",MZ. PAN,Warszawa,1994,261 s.,21 cm.,Bursztyn,,,,"Tyt. równol.: Baltic amber and other fossil resins in Polish literature and works by Polish authors in world literature : an annotated bibliography 1534-1993 : collective work. Part 2: Amber in archeology (1874-1993). - Wstęp i wprow. równol. ang., pol. Indeksy. Cz. 1 poz. 90/95"
83,8301112573,biogeochemia pierwiastków śladowych,"Kabata-Pendias, Alina (1929- )",Wydaw. Naukowe PWN,Warszawa,1993,"363, [1] s.",24 cm.,Biogeochemia,,,,Bibliogr. s 354-[364].
84,8390032619,"bursztyn przyrodzie, kulturze sztuce","Pietrzak, Teresa",MZ. PAN,Warszawa,1993,164 s.,21 cm.,Bursztyn,,,,"Tyt. równol.: Baltic amber and other fossil resins in Polish literature and works by Polish authors in world literature : an annotated bibliography 1534-1993 : collective work. Part 1: Amber in nature, culture and art. - Wstęp i wprow. równol. ang., pol. Indeksy."
85,8300032673,zagadnienia migratyzmu motyli = problems of migration of butterflies : filogenetyczne etologiczne uwarunkowania wędrówek motyli ukształtowanie środowisku różnych biomów = philogenetic and etologie conditions of migrations of butterflies and their configuration in the biotope of different bioms,"Adamczewski, Stanisław Franciszek (1909-1987)",[Halina Adamczewska i Jerzy Heintze],Warszawa,1992,"[4], X, 560 s.",21 cm,Motyle,,,,Bibliogr. s. 547-560. - Summ.
86,8301097280,botanika,"Pałczyński, Adam (1926-1992)",Wydaw. Naukowe PWN,Warszawa,1994,"712, [4] s.",25 cm.,Botanika,,,,Bibliogr. s. 638-640. - Indeksy.
87,8385019790,badanie jakości zdrowotnej żywności : materiały ćwiczeń bromatologii,,AM,Gdańsk,1994,"[2], 150 s.",24 cm.,Żywność,,,,Bibliogr. s. 150.
88,,morfologia wybranych narządów limfatycznych szczura aspekcie wpływu gonady żeńskiej warunkach prawidłowych eksperymencie : rozprawa habilitacyjna,"Ciszek, Marian",ŚAM,Zabrze ; [Katowice],1993,211 s.,20 cm.,Grasica,,,,Bibliogr. s. 123-163.
89,839013280X,słownik onkologiczny niemiecko-polski,"Grabarczyk, Zenon (1943- )",Wydaw. Uczelniane AM,Bydgoszcz,1994,"98, [1] s.",25 cm.,Onkologia,,,,Tyt. równol.: Deutsch-polnisches onkologisches Wörterbuch. Bibliogr. s. [99].
90,,kompleksy immunologiczne alergii wziewnej : rozprawa habilitacyjna,"Jarząb, Jerzy (1951- )",ŚAM,Katowice,1994,131 s.,20 cm.,Alergia,,,,Bibliogr. s. 114-131.
91,8370550975,rola bakterii astmie oskrzelowej,"Kraus-Filarska, Maria",AM,Wrocław,1994,123 s.,21 cm.,Astma oskrzelowa,,,,Bibliogr. s. 84-114. - Summ.
92,830111326X,mikrobiologia jamy ustnej,"Marsh, Philip (1949- )",Wydaw. Naukowe PWN,Warszawa,1994,"243, [1] s.",24 cm.,Choroby jamy ustnej,,,,Bibliogr. przy rozdz. - Indeks.
93,838563116X,biorą dzieci ? : rozmawiać dziećmi przekazywaniu życia,"Meissner, Karol (1927-2017)","""Signum""",Oleśnica,1994,36 s.,17 cm.,Wychowanie seksualne,,,,Bibliogr. s. 5-6. Brak wyd. 1-3
94,8320018315,pediatria praktyczna,,Wydaw. Lekarskie PZWL,Warszawa,1994,"406, [1] s.",20 cm.,Pediatria,,,,Indeks.
95,8390238926,ochotnicza straż pożarna iskrzyni : zarys dziejów latach 1911-1994,"Prugar, Mieczysław","Przedsiębiorstwo Usługowo-Wytwórcze ""Roxana""",Iskrzynia ; Krosno,1994,52 s.,21 cm.,,,,,
96,8320018285,piersią najlepiej,"Renfrew, Mary (1955- )",Wydaw. Lekarskie PZWL,Warszawa,1994,"163, [1] s.",24 cm.,Karmienie piersią,,,,
97,8386101105,stomatologia środowiskowa,,Collegium Medicum UJ [Uniwersytetu Jagiellońskiego],Kraków,1994,184 s.,24 cm.,Medycyna pracy,,,,"Wyd. poprz. pt. : Stomatologia przemysłowa. Bibliogr. s. 138-155, 177-181. - Indeks."
98,8390144719,onkologia,"Stuart, Nicholas S. A.","""Via Medica""",Gdańsk,[1994,"39, [1] s.",9 x 17 cm.,Leczenie onkologiczne,,,,Opis wg okł.
99,8871351460,matka teresa : miłość czynac,"Gjergji, Lush (1949- )",Wydawnictwo Velar,Gorle,cop. 2002,48 s.,20 cm.,,,,,Pierwsze wydanie w języku polskim. Wydano staraniem Pallotyńskiego Sekretariatu Misyjnego
100,8320015343,piersiami najlepiej,"Renfrew, Mary (1955- )",Wydaw. Lekarskie PZWL,Warszawa,1994,"163, [1] s.",24 cm.,Karmienie piersią,,,,
101,,materiały doświadczeń ośrodka wczesnej pomocy psychologicznej krakowie,Wydaw. WOM,Kraków,1994,37 s.,21 cm.,Dziecko z niepełnosprawnością,,,,,
102,838645329X,obliczenia chemii fizycznej,"Przybyt, Małgorzata",Politechnika Łódzka,Łódź,1994,475 s.,24 cm.,Chemia fizyczna,,,,
103,8301097288,botanika 3,"Pałczyński, Adam (1926-1992)",Wydaw. Naukowe PWN,Warszawa,1994,"712, [4] s.",25 cm.,Botanika,,,,Bibliogr. s. 638-640. - Indeksy.
104,8301094345,botanika milosnikow,Piotr Kowalski,Wydaw. Naukowe PWN,Warszawa,1994,"712, [4] s.",25 cm.,Botanika dla milosnikow,,,,Bibliogr. s. 638-640. - Indeksy.
105,8301097280,botanika : edycja 1,"Pałczyński, Adam (1926-1992)",Wydaw. Naukowe PWN,Warszawa,1994,"712, [4] s.",25 cm.,Botanika dla milosnikow,,,,Bibliogr. s. 638-640. - Indeksy.
106,8323105448,tożsamość uniwersytetu : antologia tekstów kopernika,,[Uniwersytet Mikołaja Kopernika],Toruń,1994,"153, [2] s.",21 cm.,Szkolnictwo wyższe,,,,Nota bibliogr. s. 153-[154].
107,8323105448,antologia tekstów kopernika : tożsamość uniwersytetu,,[Uniwersytet Mikołaja Kopernika],Toruń,1994,"153, [2] s.",21 cm.,Szkolnictwo wyższe,,,,Nota bibliogr. s. 153-[154].
